link user,user,waktu posting,komen,likes
https://www.instagram.com/annisa_kkk/,annisa_kkk,1h,SAYA AKAN BANTU PRIBADI 🤣,Reply
https://www.instagram.com/taufix_hikaru/,taufix_hikaru,1h,🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,Reply
https://www.instagram.com/annisabelladt/,annisabelladt,1h,Ada yg lg acting 👏,Reply
https://www.instagram.com/razidudona/,razidudona,1h,Angkat yang banyak pak berasnya biar bagus konten nya🔥🔥,Reply
https://www.instagram.com/sayasnuh/,sayasnuh,1h,Preeeet!!!,Reply
https://www.instagram.com/radenprayudi/,radenprayudi,1h,"Zul, mending hapus deh, yang inii aja dulu.",Reply
https://www.instagram.com/rismayn35/,rismayn35,1h,Akting 😠,Reply
https://www.instagram.com/_ariefpratama88/,_ariefpratama88,1h,Acting lu B*djingan,Reply
https://www.instagram.com/renarzmm/,renarzmm,1h,MERINDING😖,Reply
https://www.instagram.com/uma_zia_zio/,uma_zia_zio,1h,carmukkkk bgt,Reply
https://www.instagram.com/davitcristian2022/,davitcristian2022,1h,HE KONTOL !!! KAPAN MATI ?,Reply
https://www.instagram.com/whatsif_/,whatsif_,1h,best actor of the year 👏👏,Reply
https://www.instagram.com/maspion6766/,maspion6766,1h,Malah ngonten 😭😭,Reply
https://www.instagram.com/_mhrfnsyh23_/,_mhrfnsyh23_,1h,"Lu doang yang angkat beras, settingannya kurang natural",Reply
https://www.instagram.com/yefeleve/,yefeleve,1h,hwek,Reply
https://www.instagram.com/salmaneee09/,salmaneee09,1h,langsung aja ke neraka pa.,Reply
https://www.instagram.com/smyyh12/,smyyh12,1h,Cuih,Reply
https://www.instagram.com/riskaaaaa.n.m/,riskaaaaa.n.m,1h,Rawan kepleset loh. Orang jahat2 tuh lawan nya cuman lantai licin,Reply
https://www.instagram.com/mr_abdillah20/,mr_abdillah20,1h,ga jauh bedaa siii🤣,Reply
